id,category,price,utility
1097,Pantry,30.79,7
1098,Frozen,17.83,2
1099,Dairy,15.8,9
1100,Meat,6.92,4
1101,Household,11.13,1
1102,Pantry,2.5,9
1103,Dairy,13.41,2
1104,Pantry,38.61,10
1105,Pantry,24.61,10
1106,Hygiene,30.05,8
1107,Hygiene,40.38,8
1108,Dairy,4.26,4
1109,Household,32.37,6
1110,Produce,25.07,6
1111,Dairy,8.8,6
1112,Dairy,16.07,4
1113,Meat,3.34,3
1114,Household,13.2,4
1115,Household,38.32,7
1116,Household,35.27,2
1117,Dairy,42.49,8
1118,Produce,29.62,1
1119,Hygiene,7.75,10
1120,Pantry,12.8,9
1121,Pantry,8.76,3
1122,Produce,14.54,9
1123,Produce,13.37,3
1124,Hygiene,47.72,8
1125,Meat,24.28,4
1126,Frozen,17.54,10
1127,Pantry,2.72,1
1128,Hygiene,46.02,3
1129,Hygiene,9.81,6
1130,Meat,36.76,7
1131,Snacks,47.99,2
1132,Pantry,32.68,7
1133,Household,2.04,3
1134,Hygiene,32.81,7
1135,Snacks,49.57,9
1136,Meat,31.22,9
1137,Produce,8.78,1
1138,Household,33.45,2
1139,Hygiene,28.17,6
1140,Pantry,6.8,6
1141,Household,17.31,9
1142,Snacks,48.0,10
1143,Hygiene,30.41,2
1144,Frozen,19.45,3
1145,Snacks,21.11,7
1146,Frozen,36.31,7
1147,Meat,3.55,5
1148,Pantry,18.96,8
1149,Meat,28.41,8
1150,Frozen,2.37,3
1151,Household,22.48,2
1152,Household,2.37,1
1153,Hygiene,15.74,4
1154,Dairy,1.53,2
1155,Frozen,5.69,2
1156,Hygiene,20.23,4
1157,Produce,1.06,6
1158,Hygiene,11.7,5
1159,Hygiene,1.89,9
1160,Snacks,18.1,10
1161,Frozen,14.43,5
1162,Meat,12.37,2
1163,Hygiene,5.64,3
1164,Pantry,1.01,3
1165,Meat,5.03,8
1166,Hygiene,5.4,5
1167,Household,32.11,4
1168,Frozen,39.13,4
1169,Snacks,26.05,7
1170,Household,4.39,4
1171,Pantry,4.97,5
1172,Frozen,2.73,1
1173,Pantry,1.6,8
1174,Pantry,25.04,6
1175,Produce,2.13,1
1176,Snacks,47.33,9
1177,Hygiene,26.91,5
1178,Produce,12.94,5
1179,Hygiene,49.8,1
1180,Meat,1.32,3
1181,Produce,4.48,9
1182,Hygiene,2.62,5
1183,Frozen,34.61,8
1184,Household,8.26,4
1185,Produce,2.94,2
1186,Household,11.95,5
1187,Meat,2.23,9
1188,Dairy,4.14,4
1189,Meat,39.6,4
1190,Dairy,3.73,1
1191,Snacks,31.92,7
1192,Household,1.0,2
1193,Hygiene,24.22,4
1194,Household,2.22,2
1195,Meat,43.46,1
1196,Produce,7.19,3
1197,Dairy,1.78,2
1198,Meat,32.79,4
1199,Produce,24.28,3
1200,Pantry,40.57,8
1201,Pantry,15.43,10
1202,Snacks,15.48,8
1203,Pantry,37.89,9
1204,Snacks,1.23,1
1205,Pantry,15.37,9
1206,Frozen,27.37,10
1207,Meat,30.51,8
1208,Dairy,22.23,7
1209,Household,14.46,9
1210,Snacks,19.42,6
1211,Dairy,1.45,1
1212,Snacks,2.56,1
1213,Hygiene,2.8,2
1214,Frozen,22.21,10
1215,Pantry,1.12,2
1216,Dairy,1.01,8
1217,Dairy,11.73,6
1218,Frozen,34.11,1
1219,Pantry,14.71,5
1220,Dairy,44.72,2
1221,Dairy,26.77,4
1222,Household,14.57,4
1223,Snacks,16.28,2
1224,Meat,23.29,7
1225,Dairy,2.36,1
1226,Meat,22.19,10
1227,Hygiene,43.7,9
1228,Meat,35.98,7
1229,Meat,19.14,4
1230,Frozen,29.73,5
1231,Meat,46.31,7
1232,Produce,26.85,10
1233,Produce,14.13,5
1234,Produce,5.42,2
1235,Produce,30.17,5
1236,Snacks,1.44,3
1237,Snacks,4.44,4
1238,Household,4.22,10
1239,Frozen,16.87,3
1240,Meat,31.81,8
1241,Dairy,18.36,10
1242,Frozen,1.3,1
1243,Meat,38.93,2
1244,Household,28.39,1
1245,Frozen,1.14,6
1246,Snacks,6.23,3
1247,Produce,23.24,8
1248,Dairy,3.42,1
1249,Snacks,1.86,2
1250,Produce,15.72,4
1251,Frozen,30.34,6
1252,Hygiene,16.33,10
1253,Household,16.43,9
1254,Household,3.88,1
1255,Meat,23.97,2
1256,Frozen,9.79,6
1257,Meat,18.28,4
1258,Snacks,48.8,8
1259,Snacks,10.51,4
1260,Household,24.02,6
1261,Dairy,1.62,2
1262,Snacks,37.98,1
1263,Meat,24.59,5
1264,Hygiene,1.03,2
1265,Household,3.04,5
1266,Hygiene,20.02,1
1267,Frozen,17.65,1
1268,Pantry,2.42,2
1269,Pantry,1.14,1
1270,Dairy,8.4,3
1271,Meat,37.6,9
1272,Frozen,3.62,2
1273,Meat,12.51,2
1274,Snacks,2.94,9
1275,Produce,1.08,5
1276,Meat,12.76,1
1277,Meat,23.95,5
1278,Household,49.61,5
1279,Produce,20.19,1
1280,Pantry,3.49,7
1281,Snacks,1.38,10
1282,Household,9.53,7
1283,Pantry,41.55,9
1284,Snacks,3.09,2
1285,Household,37.46,9
1286,Snacks,10.06,3
1287,Snacks,5.94,2
1288,Snacks,5.94,1
1289,Meat,38.96,7
1290,Pantry,10.62,5
1291,Snacks,30.74,6
1292,Produce,29.48,5
1293,Household,18.43,3
1294,Meat,1.31,3
1295,Hygiene,25.84,7
1296,Hygiene,12.0,2
1297,Produce,9.18,5
1298,Frozen,3.43,4
1299,Household,1.21,8
1300,Hygiene,24.18,4
1301,Frozen,9.03,3
1302,Frozen,26.42,10
1303,Produce,14.28,1
1304,Household,14.18,1
1305,Frozen,14.05,1
1306,Household,5.15,5
1307,Pantry,11.43,10
1308,Produce,24.33,8
1309,Hygiene,1.4,3
1310,Snacks,8.57,1
1311,Snacks,11.09,4
1312,Hygiene,1.4,3
1313,Dairy,1.41,6
1314,Dairy,14.44,9
1315,Snacks,8.03,3
1316,Meat,16.67,3
1317,Snacks,37.99,9
1318,Produce,9.63,8
1319,Pantry,20.23,4
1320,Household,1.0,1
1321,Hygiene,13.13,1
1322,Hygiene,3.77,8
1323,Hygiene,9.24,3
1324,Produce,3.93,10
1325,Household,1.12,2
1326,Meat,1.07,10
1327,Pantry,6.37,1
1328,Frozen,49.39,10
1329,Snacks,46.75,6
1330,Produce,1.42,1
1331,Frozen,33.97,9
1332,Dairy,5.2,3
1333,Pantry,6.31,4
1334,Household,19.36,5
1335,Dairy,12.46,5
1336,Frozen,19.16,9
1337,Meat,43.12,8
1338,Hygiene,12.89,4
1339,Household,25.6,1
1340,Dairy,1.03,2
1341,Household,32.33,7
1342,Produce,6.46,4
1343,Produce,21.11,5
1344,Dairy,5.64,6
1345,Produce,1.63,7
1346,Produce,34.92,7
1347,Hygiene,42.13,3
1348,Hygiene,2.18,9
1349,Meat,11.48,1
1350,Pantry,16.64,9
1351,Produce,3.13,6
1352,Dairy,47.07,9
1353,Meat,48.41,3
1354,Frozen,2.72,1
1355,Meat,25.69,5
1356,Hygiene,38.69,5
1357,Household,14.51,3
1358,Produce,30.64,8
1359,Produce,32.28,3
1360,Household,6.67,9
1361,Pantry,30.47,6
1362,Snacks,3.06,1
1363,Dairy,1.0,10
1364,Dairy,6.44,2
1365,Pantry,1.02,4
1366,Meat,2.97,2
1367,Meat,30.26,5
1368,Snacks,2.22,2
1369,Dairy,3.09,6
1370,Pantry,1.98,5
1371,Household,2.44,6
1372,Hygiene,1.13,2
1373,Produce,1.55,1
1374,Frozen,2.57,10
1375,Hygiene,19.61,4
1376,Dairy,47.45,8
1377,Snacks,1.42,8
1378,Dairy,11.17,8
1379,Hygiene,3.63,2
1380,Pantry,41.83,6
1381,Meat,11.07,3
1382,Dairy,7.05,3
1383,Pantry,29.9,3
1384,Dairy,9.06,2
1385,Meat,16.16,4
1386,Hygiene,8.87,10
1387,Household,15.71,7
1388,Dairy,6.69,10
1389,Frozen,31.14,6
1390,Household,2.47,10
1391,Hygiene,1.64,6
1392,Dairy,34.11,7
1393,Dairy,18.54,10
1394,Frozen,6.25,1
1395,Dairy,3.32,2
1396,Produce,29.09,8
1397,Pantry,8.45,4
1398,Household,23.76,10
1399,Pantry,42.34,6
1400,Dairy,17.64,9
1401,Frozen,36.21,1
1402,Meat,40.78,1
1403,Meat,1.59,1
1404,Household,10.13,6
1405,Frozen,9.08,4
1406,Snacks,12.05,3
1407,Meat,35.57,9
1408,Snacks,1.88,1
1409,Snacks,26.5,7
1410,Snacks,1.35,7
1411,Hygiene,40.13,7
1412,Snacks,11.12,8
1413,Frozen,7.19,3
1414,Produce,17.37,4
1415,Pantry,9.27,6
1416,Produce,47.89,6
1417,Dairy,17.5,2
1418,Snacks,27.13,5
1419,Hygiene,14.09,10
1420,Dairy,3.95,2
1421,Pantry,19.42,9
1422,Produce,11.77,8
1423,Meat,9.69,5
1424,Pantry,2.37,10
1425,Pantry,26.9,1
1426,Hygiene,17.38,5
1427,Produce,5.03,3
1428,Dairy,36.52,7
1429,Pantry,4.71,2
1430,Dairy,18.87,3
1431,Hygiene,7.7,3
1432,Household,12.52,1
1433,Meat,48.45,10
1434,Snacks,35.38,7
1435,Frozen,3.77,3
1436,Household,17.36,1
1437,Pantry,28.97,5
1438,Hygiene,8.79,9
1439,Household,8.07,8
1440,Pantry,2.03,1
1441,Pantry,43.13,6
1442,Produce,1.46,6
1443,Frozen,19.26,5
1444,Meat,4.58,5
1445,Frozen,11.42,4
1446,Household,14.25,3
1447,Meat,15.69,2
1448,Produce,9.29,8
1449,Meat,3.36,1
1450,Produce,1.03,2
1451,Household,45.27,2
1452,Dairy,36.94,9
1453,Snacks,40.34,5
1454,Pantry,11.68,8
1455,Pantry,30.0,6
1456,Pantry,2.29,1
1457,Frozen,8.4,5
1458,Pantry,2.55,1
1459,Frozen,2.56,3
1460,Frozen,3.34,8
1461,Pantry,1.52,2
1462,Pantry,30.6,7
1463,Snacks,21.89,4
1464,Frozen,4.48,7
1465,Produce,14.02,8
1466,Hygiene,10.32,2
1467,Household,1.0,8
1468,Dairy,16.77,6
1469,Meat,23.78,2
1470,Meat,15.01,2
1471,Hygiene,29.34,5
1472,Snacks,16.06,4
1473,Pantry,24.73,6
1474,Hygiene,1.35,4
1475,Snacks,1.06,2
1476,Household,12.73,4
1477,Pantry,13.23,8
1478,Produce,1.07,2
1479,Produce,9.06,3
1480,Hygiene,44.3,9
1481,Snacks,27.91,5
1482,Produce,27.5,1
1483,Hygiene,41.33,4
1484,Snacks,1.01,5
1485,Dairy,11.2,4
1486,Dairy,33.77,7
1487,Household,1.2,1
1488,Frozen,6.15,10
1489,Snacks,6.07,4
1490,Produce,18.24,2
1491,Pantry,1.98,6
1492,Snacks,10.43,1
1493,Snacks,1.49,10
1494,Frozen,30.63,7
1495,Dairy,1.0,1
1496,Pantry,9.49,8
1497,Snacks,3.08,9
1498,Hygiene,9.32,10
1499,Produce,18.42,10
1500,Dairy,20.28,6
1501,Frozen,1.0,1
1502,Dairy,19.77,9
1503,Household,11.56,4
1504,Pantry,1.14,1
1505,Hygiene,13.13,2
1506,Produce,21.38,5
1507,Pantry,6.48,8
1508,Produce,1.53,2
1509,Snacks,2.22,2
1510,Dairy,1.25,1
1511,Meat,9.61,6
1512,Household,30.73,2
1513,Household,27.67,7
1514,Household,1.26,1
1515,Frozen,2.03,8
1516,Snacks,8.35,3
1517,Household,20.57,4
1518,Meat,1.79,1
1519,Pantry,1.91,8
1520,Frozen,2.44,5
1521,Snacks,31.55,10
1522,Snacks,17.38,4
1523,Dairy,9.31,4
1524,Hygiene,35.33,9
1525,Frozen,27.56,6
1526,Frozen,17.45,10
1527,Snacks,41.91,7
1528,Produce,1.08,9
1529,Produce,9.88,2
1530,Hygiene,13.02,2
1531,Frozen,45.22,10
1532,Household,21.55,5
1533,Pantry,2.28,10
1534,Produce,47.72,3
1535,Frozen,2.68,8
1536,Produce,37.27,9
1537,Meat,14.81,3
1538,Household,31.4,7
1539,Produce,13.98,6
1540,Produce,1.6,10
1541,Produce,7.55,3
1542,Dairy,16.41,3
1543,Meat,3.79,1
1544,Household,28.8,6
1545,Meat,40.51,7
1546,Pantry,1.15,8
1547,Hygiene,13.32,8
1548,Pantry,11.01,2
1549,Household,39.98,2
1550,Frozen,40.51,8
1551,Dairy,2.33,1
1552,Hygiene,2.11,2
1553,Produce,5.21,9
1554,Snacks,12.0,1
1555,Pantry,2.75,1
1556,Meat,9.31,6
1557,Hygiene,18.25,9
1558,Hygiene,11.28,5
1559,Snacks,31.52,7
1560,Pantry,30.03,7
1561,Pantry,11.19,2
1562,Pantry,2.63,2
1563,Snacks,2.27,1
1564,Snacks,10.52,4
1565,Produce,22.71,3
1566,Meat,10.85,9
1567,Pantry,1.72,1
1568,Snacks,45.02,3
1569,Produce,47.12,9
1570,Meat,21.53,5
1571,Snacks,32.33,8
1572,Meat,24.27,1
1573,Snacks,23.53,4
1574,Frozen,19.69,4
1575,Dairy,6.22,4
1576,Household,30.91,4
1577,Produce,1.34,2
1578,Frozen,2.85,10
1579,Produce,41.44,3
1580,Frozen,7.69,5
1581,Meat,7.05,9
1582,Dairy,3.28,7
1583,Hygiene,5.08,7
1584,Frozen,1.95,2
1585,Snacks,3.12,9
1586,Meat,1.21,7
1587,Dairy,1.0,5
1588,Frozen,2.5,10
1589,Snacks,2.95,5
1590,Hygiene,1.09,10
1591,Pantry,12.96,4
1592,Produce,31.68,7
1593,Hygiene,1.76,5
1594,Frozen,2.58,4
1595,Produce,1.7,1
1596,Meat,17.54,5
1597,Hygiene,47.51,6
1598,Produce,36.01,7
1599,Snacks,6.01,3
1600,Meat,2.31,1
1601,Meat,1.12,2
1602,Dairy,13.94,3
1603,Dairy,18.57,4
1604,Meat,34.5,5
1605,Pantry,24.02,2
1606,Meat,34.21,8
1607,Pantry,7.82,6
1608,Snacks,1.51,1
1609,Household,31.98,9
1610,Dairy,9.53,2
1611,Snacks,42.78,5
1612,Meat,1.95,10
1613,Meat,2.45,2
1614,Household,1.81,4
1615,Pantry,1.77,1
1616,Frozen,24.38,2
1617,Produce,30.41,1
1618,Household,1.57,9
1619,Produce,11.78,1
1620,Dairy,5.46,1
1621,Dairy,42.48,8
1622,Snacks,23.04,4
1623,Pantry,45.11,3
1624,Household,13.49,4
1625,Produce,14.7,5
1626,Snacks,40.84,2
1627,Household,42.52,8
1628,Meat,24.88,6
1629,Dairy,2.6,7
1630,Frozen,3.25,1
1631,Meat,1.75,1
1632,Hygiene,29.47,9
1633,Produce,1.33,7
1634,Pantry,11.23,8
1635,Household,16.03,4
1636,Household,36.97,8
1637,Meat,2.58,8
1638,Dairy,8.7,2
1639,Dairy,2.01,10
1640,Dairy,27.94,3
1641,Dairy,7.48,1
1642,Frozen,1.74,8
1643,Pantry,29.66,10
1644,Pantry,29.03,7
1645,Meat,12.09,7
1646,Hygiene,13.82,3
1647,Dairy,1.73,4
1648,Snacks,1.04,2
1649,Hygiene,23.53,7
1650,Meat,2.14,2
1651,Dairy,22.41,8
1652,Hygiene,3.0,8
1653,Pantry,15.42,9
1654,Produce,45.46,10
1655,Dairy,8.21,7
1656,Hygiene,11.35,4
1657,Pantry,39.35,8
1658,Snacks,5.78,2
1659,Hygiene,22.35,10
1660,Hygiene,12.1,9
1661,Produce,8.51,7
1662,Meat,29.79,5
1663,Produce,18.08,4
1664,Meat,33.11,6
1665,Frozen,1.46,6
1666,Frozen,7.05,4
1667,Household,21.58,2
1668,Pantry,1.64,2
1669,Meat,1.07,7
1670,Frozen,4.48,10
1671,Produce,48.61,7
1672,Meat,17.06,2
1673,Household,6.53,6
1674,Snacks,19.52,7
1675,Household,13.1,2
1676,Household,5.05,3
1677,Frozen,32.72,2
1678,Dairy,18.16,5
1679,Hygiene,9.94,2
1680,Pantry,13.48,4
1681,Meat,2.96,10
1682,Hygiene,23.1,1
1683,Snacks,17.3,5
1684,Hygiene,4.52,10
1685,Frozen,43.8,1
1686,Household,7.5,1
1687,Pantry,35.91,2
1688,Household,36.07,8
1689,Snacks,4.22,7
1690,Household,1.63,1
1691,Pantry,11.56,7
1692,Frozen,21.51,4
1693,Pantry,1.91,1
1694,Snacks,21.34,6
1695,Hygiene,30.98,6
1696,Meat,18.73,7
1697,Meat,23.11,7
1698,Snacks,3.73,9
1699,Dairy,14.35,9
1700,Pantry,13.08,4
1701,Dairy,30.29,10
1702,Frozen,32.82,7
1703,Household,2.02,1
1704,Hygiene,9.17,1
1705,Hygiene,14.94,2
1706,Meat,15.59,4
1707,Pantry,38.9,6
1708,Hygiene,26.1,1
1709,Produce,35.7,1
1710,Household,4.14,6
1711,Dairy,15.02,4
1712,Frozen,1.0,5
1713,Pantry,1.4,4
1714,Pantry,3.17,8
1715,Meat,38.9,7
1716,Produce,4.68,1
1717,Hygiene,27.61,6
1718,Frozen,38.67,3
1719,Pantry,13.56,10
1720,Meat,11.07,2
1721,Snacks,20.46,3
1722,Produce,8.87,6
1723,Dairy,1.6,2
1724,Snacks,36.15,6
1725,Hygiene,12.21,5
1726,Snacks,24.16,5
1727,Household,1.35,7
1728,Frozen,44.74,4
1729,Produce,45.05,10
1730,Household,41.3,4
1731,Pantry,25.1,6
1732,Frozen,18.66,4
1733,Snacks,44.97,10
1734,Frozen,30.31,8
1735,Dairy,3.47,1
1736,Pantry,28.3,7
1737,Household,18.64,5
1738,Household,9.58,3
1739,Produce,5.13,3
1740,Hygiene,41.34,8
1741,Dairy,1.01,1
1742,Frozen,24.12,7
1743,Pantry,1.26,1
1744,Meat,43.48,6
1745,Produce,1.0,7
1746,Pantry,47.82,3
1747,Produce,17.51,5
1748,Hygiene,43.41,3
1749,Dairy,5.93,3
1750,Pantry,1.67,1
1751,Hygiene,38.23,6
1752,Frozen,4.92,10
1753,Pantry,14.1,3
1754,Meat,27.61,3
1755,Hygiene,1.14,1
1756,Snacks,1.06,2
1757,Hygiene,10.33,8
1758,Produce,10.55,9
1759,Hygiene,11.27,4
1760,Snacks,1.75,1
1761,Snacks,35.16,5
1762,Household,17.69,9
1763,Snacks,9.5,2
1764,Dairy,39.58,9
1765,Dairy,8.61,2
1766,Meat,2.16,2
1767,Hygiene,11.1,10
1768,Produce,6.32,3
1769,Hygiene,6.17,10
1770,Snacks,3.19,2
1771,Pantry,6.12,1
1772,Frozen,1.42,1
1773,Frozen,1.39,3
1774,Frozen,30.77,8
1775,Snacks,1.71,7
1776,Pantry,41.02,6
1777,Dairy,34.92,8
1778,Hygiene,39.41,10
1779,Frozen,1.4,6
1780,Snacks,10.23,1
1781,Meat,47.42,3
1782,Hygiene,14.62,2
1783,Pantry,11.74,3
1784,Pantry,2.08,1
1785,Household,14.41,2
1786,Dairy,42.23,9
1787,Frozen,9.36,10
1788,Pantry,7.19,9
1789,Produce,1.64,3
1790,Snacks,35.81,8
1791,Pantry,5.83,8
1792,Pantry,6.71,3
1793,Household,2.68,10
1794,Pantry,38.23,9
1795,Produce,1.0,1
1796,Hygiene,11.38,10
1797,Hygiene,5.49,10
1798,Meat,24.37,7
1799,Pantry,1.38,1
1800,Dairy,33.62,4
1801,Produce,3.15,4
1802,Frozen,35.75,9
1803,Household,1.36,3
1804,Hygiene,9.72,1
1805,Hygiene,46.52,8
1806,Household,2.99,7
1807,Produce,6.46,3
1808,Frozen,48.01,10
1809,Pantry,1.07,9
1810,Hygiene,3.64,1
1811,Frozen,17.28,5
1812,Frozen,39.74,9
1813,Meat,10.85,3
1814,Pantry,26.84,8
1815,Household,13.63,6
1816,Hygiene,1.84,2
1817,Frozen,46.14,6
1818,Hygiene,32.34,10
1819,Household,4.91,8
1820,Snacks,2.47,1
1821,Dairy,31.85,8
1822,Pantry,3.7,1
1823,Meat,39.02,3
1824,Snacks,34.59,1
1825,Dairy,6.59,1
1826,Dairy,16.48,6
1827,Meat,30.0,9
1828,Pantry,40.37,9
1829,Dairy,25.45,8
1830,Hygiene,46.41,2
1831,Dairy,34.24,6
1832,Snacks,20.44,6
1833,Snacks,26.99,9
1834,Hygiene,27.29,7
1835,Meat,6.49,1
1836,Hygiene,47.07,1
1837,Household,35.15,5
1838,Snacks,1.36,7
1839,Meat,20.41,6
1840,Frozen,31.37,7
1841,Frozen,42.3,9
1842,Meat,44.64,1
1843,Dairy,1.35,3
1844,Frozen,1.19,3
1845,Produce,47.84,9
1846,Pantry,9.62,9
1847,Pantry,26.51,6
1848,Produce,34.51,10
1849,Snacks,25.03,4
1850,Hygiene,24.84,7
1851,Household,39.03,9
1852,Meat,8.45,3
1853,Pantry,3.24,5
1854,Meat,29.08,5
1855,Pantry,3.85,7
1856,Dairy,27.25,5
1857,Meat,1.75,2
1858,Hygiene,5.35,8
1859,Meat,48.34,10
1860,Household,7.01,3
1861,Snacks,26.0,4
1862,Dairy,6.27,6
1863,Hygiene,1.47,7
1864,Dairy,1.42,3
1865,Hygiene,3.26,2
1866,Frozen,17.96,7
1867,Pantry,17.73,8
1868,Hygiene,27.24,3
1869,Snacks,13.54,8
1870,Snacks,46.92,9
1871,Dairy,24.63,1
1872,Snacks,44.67,2
1873,Frozen,1.6,5
1874,Produce,14.39,3
1875,Meat,5.51,3
1876,Snacks,31.1,5
1877,Pantry,3.28,8
1878,Produce,1.73,1
1879,Frozen,12.35,8
1880,Meat,30.91,10
1881,Snacks,29.45,8
1882,Hygiene,22.81,6
1883,Meat,1.39,10
1884,Frozen,8.35,6
1885,Produce,45.98,5
1886,Dairy,37.74,10
1887,Pantry,16.42,5
1888,Dairy,2.81,10
1889,Produce,45.9,8
1890,Produce,1.71,3
1891,Produce,4.7,2
1892,Hygiene,1.35,6
1893,Frozen,17.99,1
1894,Meat,10.36,9
1895,Meat,8.15,1
1896,Snacks,4.99,1
1897,Snacks,5.61,3
1898,Produce,19.5,1
1899,Produce,5.35,1
1900,Frozen,40.08,8
1901,Produce,3.01,10
1902,Household,12.91,7
1903,Dairy,4.55,9
1904,Frozen,1.21,2
1905,Household,41.91,10
1906,Dairy,3.97,3
1907,Pantry,16.82,9
1908,Household,31.03,8
1909,Snacks,30.97,7
1910,Hygiene,1.09,10
1911,Pantry,21.9,4
1912,Hygiene,4.66,2
1913,Frozen,49.93,4
1914,Pantry,1.1,10
1915,Dairy,5.43,2
1916,Snacks,26.76,7
1917,Household,19.26,6
1918,Meat,20.77,8
1919,Pantry,3.96,6
1920,Household,11.36,1
1921,Snacks,21.48,5
1922,Produce,40.82,7
1923,Hygiene,29.49,2
1924,Produce,40.04,8
1925,Dairy,7.11,10
1926,Meat,8.33,1
1927,Dairy,11.49,8
1928,Produce,3.4,1
1929,Meat,2.8,5
1930,Household,3.69,6
1931,Produce,4.86,10
1932,Household,1.0,7
1933,Dairy,38.08,8
1934,Snacks,15.92,10
1935,Snacks,1.21,1
1936,Snacks,4.3,4
1937,Pantry,2.8,9
1938,Pantry,23.7,1
1939,Frozen,21.13,1
1940,Meat,10.17,5
1941,Dairy,23.67,6
1942,Produce,39.27,8
1943,Frozen,14.89,7
1944,Household,6.49,1
1945,Household,47.88,2
1946,Household,2.9,2
1947,Dairy,1.04,1
1948,Meat,35.62,8
1949,Household,46.05,6
1950,Household,44.62,10
1951,Hygiene,29.61,10
1952,Dairy,1.36,1
1953,Frozen,5.81,2
1954,Snacks,1.19,1
1955,Pantry,19.28,2
1956,Produce,16.33,4
1957,Frozen,1.45,4
1958,Produce,11.07,7
1959,Dairy,6.65,1
1960,Hygiene,14.11,2
1961,Dairy,1.01,10
1962,Household,41.08,10
1963,Pantry,7.19,10
1964,Hygiene,2.69,1
1965,Produce,1.8,9
1966,Meat,5.75,3
1967,Snacks,11.8,5
1968,Meat,47.13,3
1969,Produce,3.76,9
1970,Produce,9.73,1
1971,Household,31.22,8
1972,Hygiene,18.63,10
1973,Meat,19.6,3
1974,Dairy,11.11,1
1975,Hygiene,3.36,1
1976,Household,11.67,3
1977,Meat,32.93,7
1978,Snacks,34.44,6
1979,Dairy,7.28,3
1980,Pantry,10.5,6
1981,Produce,47.61,10
1982,Snacks,3.35,1
1983,Meat,36.2,7
1984,Produce,2.52,1
1985,Produce,34.87,8
1986,Dairy,6.61,2
1987,Household,7.7,3
1988,Frozen,38.81,7
1989,Snacks,31.96,7
1990,Meat,5.95,4
1991,Produce,29.53,9
1992,Pantry,31.55,1
1993,Pantry,38.33,10
1994,Hygiene,3.15,1
1995,Dairy,2.37,9
1996,Meat,13.18,6
1997,Meat,14.53,8
1998,Hygiene,4.53,10
1999,Produce,3.1,8
2000,Household,8.68,7
2001,Snacks,43.88,9
2002,Dairy,1.88,1
2003,Meat,3.6,2
2004,Meat,9.9,7
2005,Meat,32.71,7
2006,Produce,2.58,2
2007,Dairy,7.32,3
2008,Dairy,31.26,2
2009,Dairy,1.25,1
2010,Meat,2.89,5
2011,Pantry,2.78,3
2012,Pantry,1.0,1
2013,Frozen,44.83,1
2014,Hygiene,21.96,3
2015,Frozen,3.54,4
2016,Hygiene,3.68,9
2017,Hygiene,26.58,2
2018,Meat,36.05,7
2019,Household,10.43,1
2020,Meat,1.95,5
2021,Produce,13.24,6
2022,Meat,3.49,7
2023,Pantry,6.21,1
2024,Snacks,2.16,6
2025,Frozen,48.08,10
2026,Dairy,15.0,2
2027,Meat,16.89,5
2028,Dairy,2.44,3
2029,Produce,34.47,1
2030,Snacks,2.94,7
2031,Pantry,3.08,2
2032,Dairy,11.13,1
2033,Snacks,6.23,7
2034,Snacks,48.99,10
2035,Hygiene,28.06,4
2036,Snacks,38.13,8
2037,Snacks,18.86,10
2038,Household,13.37,5
2039,Household,1.0,1
2040,Frozen,18.93,4
2041,Hygiene,11.38,2
2042,Pantry,21.47,6
2043,Pantry,8.49,3
2044,Frozen,4.04,7
2045,Hygiene,8.25,10
2046,Dairy,8.59,4
2047,Snacks,4.67,5
2048,Dairy,24.88,4
